,Movie_name,IMDB_rating,metascore,number_of_votes,year
0,Gladiator,8.5,67,"1,196,549",2000
1,Memento,8.5,80,"1,020,272",2000
2,Requiem for a Dream,8.3,68,"692,520",2000
3,X-Men,7.4,64,"530,117",2000
4,Cast Away,7.8,73,"468,328",2000
5,American Psycho,7.6,64,"425,746",2000
6,Unbreakable,7.3,62,"341,387",2000
7,Meet the Parents,7.0,73,"291,467",2000
8,"O Brother, Where Art Thou?",7.8,69,"262,699",2000
9,Wo hu cang long,7.9,93,"238,629",2000
10,The Patriot,7.2,63,"235,836",2000
11,Almost Famous,7.9,90,"233,467",2000
12,Amores perros,8.1,83,"205,499",2000
13,Traffic,7.6,86,"185,392",2000
14,Chocolat,7.3,64,"167,422",2000
15,Chicken Run,7.0,88,"162,449",2000
16,The Emperor's New Groove,7.4,70,"158,452",2000
17,Batoru rowaiaru,7.7,81,"158,279",2000
18,Erin Brockovich,7.3,73,"157,654",2000
19,High Fidelity,7.5,79,"157,583",2000
20,Billy Elliot,7.7,74,"113,863",2000
21,Shanghai Noon,6.6,77,"111,033",2000
22,Faa yeung nin wa,8.1,85,"104,103",2000
23,Frequency,7.4,67,"93,960",2000
24,Gladiator,8.5,67,"1,196,549",2000
25,Memento,8.5,80,"1,020,272",2000
26,Requiem for a Dream,8.3,68,"692,520",2000
27,X-Men,7.4,64,"530,117",2000
28,Cast Away,7.8,73,"468,328",2000
29,American Psycho,7.6,64,"425,746",2000
30,Unbreakable,7.3,62,"341,387",2000
31,Meet the Parents,7.0,73,"291,467",2000
32,"O Brother, Where Art Thou?",7.8,69,"262,699",2000
33,Wo hu cang long,7.9,93,"238,629",2000
34,The Patriot,7.2,63,"235,836",2000
35,Almost Famous,7.9,90,"233,467",2000
36,Amores perros,8.1,83,"205,499",2000
37,Traffic,7.6,86,"185,392",2000
38,Chocolat,7.3,64,"167,422",2000
39,Chicken Run,7.0,88,"162,449",2000
40,The Emperor's New Groove,7.4,70,"158,452",2000
41,Batoru rowaiaru,7.7,81,"158,279",2000
42,Erin Brockovich,7.3,73,"157,654",2000
43,High Fidelity,7.5,79,"157,583",2000
44,Billy Elliot,7.7,74,"113,863",2000
45,Shanghai Noon,6.6,77,"111,033",2000
46,Faa yeung nin wa,8.1,85,"104,103",2000
47,Frequency,7.4,67,"93,960",2000
48,Gladiator,8.5,67,"1,196,549",2000
49,Memento,8.5,80,"1,020,272",2000
50,Requiem for a Dream,8.3,68,"692,520",2000
51,X-Men,7.4,64,"530,117",2000
52,Cast Away,7.8,73,"468,328",2000
53,American Psycho,7.6,64,"425,746",2000
54,Unbreakable,7.3,62,"341,387",2000
55,Meet the Parents,7.0,73,"291,467",2000
56,"O Brother, Where Art Thou?",7.8,69,"262,699",2000
57,Wo hu cang long,7.9,93,"238,629",2000
58,The Patriot,7.2,63,"235,836",2000
59,Almost Famous,7.9,90,"233,467",2000
60,Amores perros,8.1,83,"205,499",2000
61,Traffic,7.6,86,"185,392",2000
62,Chocolat,7.3,64,"167,422",2000
63,Chicken Run,7.0,88,"162,449",2000
64,The Emperor's New Groove,7.4,70,"158,452",2000
65,Batoru rowaiaru,7.7,81,"158,279",2000
66,Erin Brockovich,7.3,73,"157,654",2000
67,High Fidelity,7.5,79,"157,583",2000
68,Billy Elliot,7.7,74,"113,863",2000
69,Shanghai Noon,6.6,77,"111,033",2000
70,Faa yeung nin wa,8.1,85,"104,103",2000
71,Frequency,7.4,67,"93,960",2000
72,Gladiator,8.5,67,"1,196,549",2000
73,Memento,8.5,80,"1,020,272",2000
74,Requiem for a Dream,8.3,68,"692,520",2000
75,X-Men,7.4,64,"530,117",2000
76,Cast Away,7.8,73,"468,328",2000
77,American Psycho,7.6,64,"425,746",2000
78,Unbreakable,7.3,62,"341,387",2000
79,Meet the Parents,7.0,73,"291,467",2000
80,"O Brother, Where Art Thou?",7.8,69,"262,699",2000
81,Wo hu cang long,7.9,93,"238,629",2000
82,The Patriot,7.2,63,"235,836",2000
83,Almost Famous,7.9,90,"233,467",2000
84,Amores perros,8.1,83,"205,499",2000
85,Traffic,7.6,86,"185,392",2000
86,Chocolat,7.3,64,"167,422",2000
87,Chicken Run,7.0,88,"162,449",2000
88,The Emperor's New Groove,7.4,70,"158,452",2000
89,Batoru rowaiaru,7.7,81,"158,279",2000
90,Erin Brockovich,7.3,73,"157,654",2000
91,High Fidelity,7.5,79,"157,583",2000
92,Billy Elliot,7.7,74,"113,863",2000
93,Shanghai Noon,6.6,77,"111,033",2000
94,Faa yeung nin wa,8.1,85,"104,103",2000
95,Frequency,7.4,67,"93,960",2000
96,The Lord of the Rings: The Fellowship of the Ring,8.8,92,"1,490,123",2001
97,A Beautiful Mind,8.2,72,"762,478",2001
98,"Monsters, Inc.",8.1,78,"730,205",2001
99,Donnie Darko,8.1,88,"692,125",2001
100,Amélie,8.3,69,"645,181",2001
101,Harry Potter and the Sorcerer's Stone,7.6,64,"563,758",2001
102,Shrek,7.9,84,"555,998",2001
103,Sen to Chihiro no kamikakushi,8.6,96,"548,374",2001
104,Ocean's Eleven,7.8,74,"470,249",2001
105,Training Day,7.7,69,"353,909",2001
106,Black Hawk Down,7.7,74,"336,777",2001
107,The Others,7.6,74,"311,286",2001
